id,address,proj,address_cln_1,address_cln_2
8101.00007,90-91 Beach Channel Drive,jf,90-91 BEACH CHANNEL DRIVE,90-91 BEACH CHANNEL DRIVE
8101.000721,199 BEACH 67TH ST,jf,199 BEACH 67TH ST,199 BEACH 67TH ST
8101.002874,"4823 39TH AVE, Queens",lg,4823 39TH AVE,4823 39TH AVE
8101.002876,501 39TH AVE,jf,501 39TH AVE,501 39TH AVE
8101.003092,3979 GOSMAN AVE,jf,3979 GOSMAN AVE,3979 GOSMAN AVE
8101.003339,3979 CAROLINA RD,jf,3979 CAROLINA RD,3979 CAROLINA RD
8101.003456,3979 PACKARD ST,jf,3979 PACKARD ST,3979 PACKARD ST
8101.006413,"162-24 JAMAICA AVE, Queens",lg,162-24 JAMAICA AVE,162-24 JAMAICA AVE
8101.006414,"46-02 21ST ST, Queens",lg,46-02 21ST ST,46-02 21ST ST
8101.006481,"44-70 23RD ST, Queens",lg,44-70 23RD ST,44-70 23RD ST
8101.006482,"44-72 23RD ST, Queens",lg,44-72 23RD ST,44-72 23RD ST
8101.006483,"44-74 23RD ST, Queens",lg,44-74 23RD ST,44-74 23RD ST
8101.006484,"44-76 23RD ST, Queens",lg,44-76 23RD ST,44-76 23RD ST
8101.006485,"44-78 23RD ST, Queens",lg,44-78 23RD ST,44-78 23RD ST
8101.006549,"90-33 160TH ST, Queens",lg,90-33 160TH ST,90-33 160TH ST
8101.006577,55-60 MYRTLE AVE,jf,55-60 MYRTLE AVE,55-60 MYRTLE AVE
8101.006585,"37-56/60 85TH ST, QUEENS NY",jh,37-56/60 85TH ST,37-56/60 85TH ST
8101.006692,"15 Center Dr, Queens",lg,15 CENTER DR,15 CENTER DR
8101.007248,"33-23 69TH ST, QUEENS NY",jh,33-23 69TH ST,33-23 69TH ST
8101.007269,"34-07 73RD ST, QUEENS NY",jh,34-07 73RD ST,34-07 73RD ST
8101.007276,"69TH ST, QUEENS NY",jh,69TH ST,69TH ST
8101.007277,"33-12 69TH ST, QUEENS NY",jh,33-12 69TH ST,33-12 69TH ST
8101.007278,"33-14 69TH ST, QUEENS NY",jh,33-14 69TH ST,33-14 69TH ST
8101.007279,"33-16 69TH ST, QUEENS NY",jh,33-16 69TH ST,33-16 69TH ST
8101.00728,"33-18 69TH ST, QUEENS NY",jh,33-18 69TH ST,33-18 69TH ST
8101.007281,"33-20 69TH ST, QUEENS NY",jh,33-20 69TH ST,33-20 69TH ST
8101.007282,"33-22 69TH ST, QUEENS NY",jh,33-22 69TH ST,33-22 69TH ST
8101.007283,"33-24 69TH ST, QUEENS NY",jh,33-24 69TH ST,33-24 69TH ST
8101.007284,"33-26 69TH ST, QUEENS NY",jh,33-26 69TH ST,33-26 69TH ST
8101.007285,"33-12 70TH ST, QUEENS NY",jh,33-12 70TH ST,33-12 70TH ST
8101.007286,"33-14 70TH ST, QUEENS NY",jh,33-14 70TH ST,33-14 70TH ST
8101.007287,"33-16 70TH ST, QUEENS NY",jh,33-16 70TH ST,33-16 70TH ST
8101.007288,"33-18 70TH ST, QUEENS NY",jh,33-18 70TH ST,33-18 70TH ST
8101.007289,"33-20 70TH ST, QUEENS NY",jh,33-20 70TH ST,33-20 70TH ST
8101.00729,"33-22 70TH ST, QUEENS NY",jh,33-22 70TH ST,33-22 70TH ST
8101.007291,"33-24 70TH ST, QUEENS NY",jh,33-24 70TH ST,33-24 70TH ST
