id,address,proj,address_cln_1,address_cln_2,addr_concat,uid,streetaddress,addressRemoveSuite,hn,street,county,boro,suite_type,suite_num,city,state
8101.00007,90-91 Beach Channel Drive,,90-91 BEACH CHANNEL DRIVE,90-91 BEACH CHANNEL DRIVE,8101.00007^90-91 BEACH CHANNEL DRIVE^nan,90001,90-91 Beach Channel Drive,90-91 Beach Channel Drive,90-91,BEACH CHANNEL DRIVE,,nan,,,,NY
8101.000721,199 BEACH 67TH ST,,199 BEACH 67TH ST,199 BEACH 67TH ST,8101.000721^199 BEACH 67TH ST^nan,90002,199 BEACH 67TH ST,199 BEACH 67TH ST,199,BEACH 67TH ST,,nan,,,,NY
8101.002874,4823 39TH AVE Queens,,4823 39TH AVE,4823 39TH AVE,8101.002874^4823 39TH AVE^nan,90003,"4823 39TH AVE, Queens",4823 39TH AVE Queens,4823,39TH AVE ,Queens,Queens,,,Queens,NY
8101.002876,501 39TH AVE,,501 39TH AVE,501 39TH AVE,8101.002876^501 39TH AVE^nan,90004,501 39TH AVE,501 39TH AVE,501,39TH AVE,,nan,,,,NY
8101.003092,3979 GOSMAN AVE,,3979 GOSMAN AVE,3979 GOSMAN AVE,8101.003092^3979 GOSMAN AVE^nan,90005,3979 GOSMAN AVE,3979 GOSMAN AVE,3979,GOSMAN AVE,,nan,,,,NY
8101.003339,3979 CAROLINA RD,,3979 CAROLINA RD,3979 CAROLINA RD,8101.003339^3979 CAROLINA RD^nan,90006,3979 CAROLINA RD,3979 CAROLINA RD,3979,CAROLINA RD,,nan,,,,NY
8101.003456,3979 PACKARD ST,,3979 PACKARD ST,3979 PACKARD ST,8101.003456^3979 PACKARD ST^nan,90007,3979 PACKARD ST,3979 PACKARD ST,3979,PACKARD ST,,nan,,,,NY
8101.006413,162-24 JAMAICA AVE Queens,,162-24 JAMAICA AVE,162-24 JAMAICA AVE,8101.006413^162-24 JAMAICA AVE^nan,90008,"162-24 JAMAICA AVE, Queens",162-24 JAMAICA AVE Queens,162-24,JAMAICA AVE ,Queens,Queens,,,Queens,NY
8101.006414,46-02 21ST ST Queens,,46-02 21ST ST,46-02 21ST ST,8101.006414^46-02 21ST ST^nan,90009,"46-02 21ST ST, Queens",46-02 21ST ST Queens,46-02,21ST ST ,Queens,Queens,,,Queens,NY
8101.006481,44-70 23RD ST Queens,,44-70 23RD ST,44-70 23RD ST,8101.006481^44-70 23RD ST^nan,90010,"44-70 23RD ST, Queens",44-70 23RD ST Queens,44-70,23RD ST ,Queens,Queens,,,Queens,NY
8101.006482,44-72 23RD ST Queens,,44-72 23RD ST,44-72 23RD ST,8101.006482^44-72 23RD ST^nan,90011,"44-72 23RD ST, Queens",44-72 23RD ST Queens,44-72,23RD ST ,Queens,Queens,,,Queens,NY
8101.006483,44-74 23RD ST Queens,,44-74 23RD ST,44-74 23RD ST,8101.006483^44-74 23RD ST^nan,90012,"44-74 23RD ST, Queens",44-74 23RD ST Queens,44-74,23RD ST ,Queens,Queens,,,Queens,NY
