USN_No,Resource_Address
8101.011579,69-65 182nd St
8101.000721,199 BEACH 67TH ST
8101.003339,3979 CAROLINA RD
8101.006577,55-60 MYRTLE AVE
8101.003092,3979 GOSMAN AVE
8101.011195,116-00 166th St
8101.009383,86-02 127TH ST
8101.011166,88-01 102 St
8101.011494,86-50 109th St
8101.002876,501 39TH AVE
8101.00007,90-91 Beach Channel Drive
8101.003456,3979 PACKARD ST
8101.008781,34-14 88TH ST
8101.008794,34-44 88TH ST
8101.008797,34-50 88TH ST
8101.008782,34-16 88TH ST
8101.008783,34-18 88TH ST
8101.008785,34-22 88TH ST
8101.008845,34-15 88TH ST
8101.008858,34-53 88TH ST
8101.008846,34-17 88TH ST
8101.008847,34-19 88TH ST
