uid,hn,street,boro,state
90001,90-91,BEACH CHANNEL DRIVE,nan,NY
90002,199,BEACH 67TH ST,nan,NY
90003,4823,39TH AVE ,Queens,NY
90004,501,39TH AVE,nan,NY
90005,3979,GOSMAN AVE,nan,NY
90006,3979,CAROLINA RD,nan,NY
90007,3979,PACKARD ST,nan,NY
90008,162-24,JAMAICA AVE ,Queens,NY
90009,46-02,21ST ST ,Queens,NY
90010,44-70,23RD ST ,Queens,NY
90011,44-72,23RD ST ,Queens,NY
90012,44-74,23RD ST ,Queens,NY
90013,44-76,23RD ST ,Queens,NY
90014,44-78,23RD ST ,Queens,NY
90015,90-33,160TH ST ,Queens,NY
90016,55-60,MYRTLE AVE,nan,NY
90017,37-56/60,85TH ST,QUEENS,NY
90018,15,CENTER DR ,Queens,NY
90019,33-23,69TH ST,QUEENS,NY
90020,34-07,73RD ST,QUEENS,NY
90021,,ST,QUEENS,NY
90022,33-12,69TH ST,QUEENS,NY
90023,33-14,69TH ST,QUEENS,NY
90024,33-16,69TH ST,QUEENS,NY
90025,33-18,69TH ST,QUEENS,NY
90026,33-20,69TH ST,QUEENS,NY
90027,33-22,69TH ST,QUEENS,NY
90028,33-24,69TH ST,QUEENS,NY
90029,33-26,69TH ST,QUEENS,NY
90030,33-12,70TH ST,QUEENS,NY
90031,33-14,70TH ST,QUEENS,NY
90032,33-16,70TH ST,QUEENS,NY
90033,33-18,70TH ST,QUEENS,NY
90034,33-20,70TH ST,QUEENS,NY
90035,33-22,70TH ST,QUEENS,NY
90036,33-24,70TH ST,QUEENS,NY
90037,33-26,70TH ST,QUEENS,NY
90038,33-28,70TH ST,QUEENS,NY
90039,33-30,70TH ST,QUEENS,NY
90040,33-32,70TH ST,QUEENS,NY
90041,33-34,70TH ST,QUEENS,NY
90042,33-36,70TH ST,QUEENS,NY
90043,33-38,70TH ST,QUEENS,NY
90044,33-40,70TH ST,QUEENS,NY
90045,33-42,70TH ST,QUEENS,NY
90046,33-44,70TH ST,QUEENS,NY
90047,33-46,70TH ST,QUEENS,NY
90048,33-48,70TH ST,QUEENS,NY
90049,33-45,69TH ST,QUEENS,NY
90050,33-43,69TH ST,QUEENS,NY
90051,33-41,69TH ST,QUEENS,NY
90052,33-39,69TH ST,QUEENS,NY
90053,33-37,69TH ST,QUEENS,NY
90054,33-35,69TH ST,QUEENS,NY
90055,33-33,69TH ST,QUEENS,NY
