alleyCrossStreetsFlag,assemblyDistrict,bbl,bblBoroughCode,bblTaxBlock,bblTaxLot,bikeLane,boardOfElectionsPreferredLgc,boePreferredStreetName,boePreferredstreetCode,boroughCode1In,buildingIdentificationNumber,businessImprovementDistrict,censusBlock2000,censusBlock2010,censusBlockSuffix2000,censusTract1990,censusTract2000,censusTract2010,cityCouncilDistrict,civilCourtDistrict,coincidentSegmentCount,communityDistrict,communityDistrictBoroughCode,communityDistrictNumber,communitySchoolDistrict,condominiumBillingBbl,condominiumFlag,congressionalDistrict,cooperativeIdNumber,cornerCode,crossStreetNamesFlagIn,curveFlag,dcpCommercialStudyArea,dcpPreferredLgc,dofCondominiumIdentificationNumber,dotStreetLightContractorArea,dynamicBlock,electionDistrict,fireBattalion,fireCompanyNumber,fireCompanyType,fireDivision,firstBoroughName,firstStreetCode,firstStreetNameNormalized,fromLionNodeId,fromPreferredLgcsFirstSetOf5,genericId,geosupportFunctionCode,geosupportReturnCode,geosupportReturnCode2,gi5DigitStreetCode1,gi5DigitStreetCode2,gi5DigitStreetCode3,gi5DigitStreetCode4,gi5DigitStreetCode5,gi5DigitStreetCode6,gi5DigitStreetCode7,gi5DigitStreetCode8,giBoroughCode1,giBoroughCode2,giBoroughCode3,giBoroughCode4,giBoroughCode5,giBoroughCode6,giBoroughCode7,giBoroughCode8,giBuildingIdentificationNumber1,giBuildingIdentificationNumber2,giBuildingIdentificationNumber3,giBuildingIdentificationNumber4,giBuildingIdentificationNumber5,giBuildingIdentificationNumber6,giBuildingIdentificationNumber7,giBuildingIdentificationNumber8,giDcpPreferredLgc1,giDcpPreferredLgc2,giDcpPreferredLgc3,giDcpPreferredLgc4,giDcpPreferredLgc5,giDcpPreferredLgc6,giDcpPreferredLgc7,giDcpPreferredLgc8,giGeographicIdentifier1,giGeographicIdentifier2,giGeographicIdentifier3,giGeographicIdentifier4,giGeographicIdentifier5,giGeographicIdentifier6,giGeographicIdentifier7,giGeographicIdentifier8,giHighHouseNumber1,giHighHouseNumber2,giHighHouseNumber3,giHighHouseNumber4,giHighHouseNumber5,giHighHouseNumber6,giHighHouseNumber7,giHighHouseNumber8,giLowHouseNumber1,giLowHouseNumber2,giLowHouseNumber3,giLowHouseNumber4,giLowHouseNumber5,giLowHouseNumber6,giLowHouseNumber7,giLowHouseNumber8,giSideOfStreetIndicator1,giSideOfStreetIndicator2,giSideOfStreetIndicator3,giSideOfStreetIndicator4,giSideOfStreetIndicator5,giSideOfStreetIndicator6,giSideOfStreetIndicator7,giSideOfStreetIndicator8,giStreetCode1,giStreetCode2,giStreetCode3,giStreetCode4,giStreetCode5,giStreetCode6,giStreetCode7,giStreetCode8,giStreetName1,giStreetName2,giStreetName3,giStreetName4,giStreetName5,giStreetName6,giStreetName7,giStreetName8,healthArea,healthCenterDistrict,highBblOfThisBuildingsCondominiumUnits,highCrossStreetB5SC1,highCrossStreetB5SC2,highCrossStreetB5SC3,highCrossStreetCode1,highCrossStreetCode2,highCrossStreetCode3,highCrossStreetName1,highCrossStreetName2,highCrossStreetName3,highHouseNumberOfBlockfaceSortFormat,houseNumber,houseNumberIn,houseNumberSortFormat,hurricaneEvacuationZone,individualSegmentLength,instructionalRegion,interimAssistanceEligibilityIndicator,interiorLotFlag,internalLabelXCoordinate,internalLabelYCoordinate,latitude,latitudeInternalLabel,legacySegmentId,lionBoroughCode,lionBoroughCodeForVanityAddress,lionFaceCode,lionFaceCodeForVanityAddress,lionKey,lionKeyForVanityAddress,lionSequenceNumber,lionSequenceNumberForVanityAddress,listOf4Lgcs,longitude,longitudeInternalLabel,lowBblOfThisBuildingsCondominiumUnits,lowCrossStreetB5SC1,lowCrossStreetB5SC2,lowCrossStreetB5SC3,lowCrossStreetCode1,lowCrossStreetCode2,lowCrossStreetCode3,lowCrossStreetName1,lowCrossStreetName2,lowCrossStreetName3,lowHouseNumberOfBlockfaceSortFormat,lowHouseNumberOfDefiningAddressRange,message,message2,noCrossStreetCalculationFlag,nta,ntaName,numberOfCrossStreetB5SCsHighAddressEnd,numberOfCrossStreetB5SCsLowAddressEnd,numberOfCrossStreetsHighAddressEnd,numberOfCrossStreetsLowAddressEnd,numberOfEntriesInListOfGeographicIdentifiers,numberOfExistingStructuresOnLot,numberOfStreetCodesAndNamesInList,numberOfStreetFrontagesOfLot,physicalId,policePatrolBoroughCommand,policePrecinct,radiusOfCircle,reasonCode,reasonCode1a,reasonCode1e,reasonCode2,returnCode1a,returnCode1e,roadwayType,rpadBuildingClassificationCode,rpadSelfCheckCodeForBbl,sanbornBoroughCode,sanbornPageNumber,sanbornPageNumberSuffix,sanbornVolumeNumber,sanitationCollectionSchedulingSectionAndSubsection,sanitationDistrict,sanitationOrganicsCollectionSchedule,sanitationRecyclingCollectionSchedule,sanitationRegularCollectionSchedule,sanitationSnowPriorityCode,secantLocationRelatedToCurve,segmentAzimuth,segmentIdentifier,segmentLengthInFeet,segmentOrientation,segmentTypeCode,selfCheckCodeOfBillingBbl,sideOfStreetIndicator,sideOfStreetOfVanityAddress,specialAddressGeneratedRecordFlag,splitLowHouseNumber,stateSenatorialDistrict,streetCode1,streetCode10,streetCode2,streetCode3,streetCode4,streetCode5,streetCode6,streetCode7,streetCode8,streetCode9,streetName1,streetName10,streetName1In,streetName2,streetName3,streetName4,streetName5,streetName6,streetName7,streetName8,streetName9,streetStatus,taxMapNumberSectionAndVolume,toLionNodeId,toPreferredLgcsFirstSetOf5,trafficDirection,underlyingStreetCode,uspsPreferredCityName,vacantLotFlag,workAreaFormatIndicatorIn,xCoordinate,xCoordinateHighAddressEnd,xCoordinateLowAddressEnd,xCoordinateOfCenterofCurvature,yCoordinate,yCoordinateHighAddressEnd,yCoordinateLowAddressEnd,yCoordinateOfCenterofCurvature,zipCode
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,1B,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90-91,90-91,100090091AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"INVALID BOROUGH CODE. MUST BE 1, 2, 3, 4 OR 5.","INVALID BOROUGH CODE. MUST BE 1, 2, 3, 4 OR 5.",,,,,,,,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BEACH CHANNEL DRIVE,",,,,,,,,,,,,,,,,,C,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,1B,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,199,000199000AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"INVALID BOROUGH CODE. MUST BE 1, 2, 3, 4 OR 5.","INVALID BOROUGH CODE. MUST BE 1, 2, 3, 4 OR 5.",,,,,,,,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BEACH 67TH ST,",,,,,,,,,,,,,,,,,C,,,,,,,,,
,30,4001230044,4,00123,0044,3,1,39 AVENUE,40914003,4,4000000,,2000,1002,, 169  , 169  , 169  ,26,02,1,402,4,02,30,0000000000,,14,,,E,,,03,,4,303,050,49,163,L,14,QUEENS,40914003010,39 AVENUE,0041766,02,0018105,1B,00,01,09140,,,,,,,,4,,,,,,,,4000000,,,,,,,,03,,,,,,,,Q,,,,,,,,49-01,,,,,,,,48-21,,,,,,,,L,,,,,,,,40914003,,,,,,,,39 AVENUE,,,,,,,,0920,41,4001230044,410740,,,41074003,,,49 STREET,,,100048099AA,48-23,4823,100048023AA,X,,QN,I,,1007898,0212268,40.749118305212164,40.74927152352739,0067956,4,4,5426,5426,4542600540,4542600540,00540,00540,0302,-73.91531219527582,-73.91465153133967,4001230044,410640,,,41064002,,,48 STREET,,,100048001AA,100048021AA,,INPUT ADDRESS IS A PSEUDO-ADDRESS. ADDR NUMBER ALTERED: HYPHEN INSERTED,,QN31,Hunters Point-Sunnyside-West Maspeth,1,1,1,1,0001,0000,,01,0021358,6,108,,,9,,9,01,00,1,V0,8,4,069,,01,2D,402,,EF,TF,P,,351,0067956,00261,E,U,,L,L,,100048001AA,12,,,,,,,,,,,,,"39TH AVE ,",,,,,,,,,2,40201,0041771,03,T,40914003,SUNNYSIDE,V,C,1007715,1007893,1007635,0000000,0212212,0212182,0212221,0000000,11104
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,1B,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,501,000501000AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"INVALID BOROUGH CODE. MUST BE 1, 2, 3, 4 OR 5.","INVALID BOROUGH CODE. MUST BE 1, 2, 3, 4 OR 5.",,,,,,,,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39TH AVE,",,,,,,,,,,,,,,,,,C,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,1B,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979,3979,003979000AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"INVALID BOROUGH CODE. MUST BE 1, 2, 3, 4 OR 5.","INVALID BOROUGH CODE. MUST BE 1, 2, 3, 4 OR 5.",,,,,,,,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GOSMAN AVE,",,,,,,,,,,,,,,,,,C,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,1B,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979,3979,003979000AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"INVALID BOROUGH CODE. MUST BE 1, 2, 3, 4 OR 5.","INVALID BOROUGH CODE. MUST BE 1, 2, 3, 4 OR 5.",,,,,,,,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAROLINA RD,",,,,,,,,,,,,,,,,,C,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,1B,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979,3979,003979000AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"INVALID BOROUGH CODE. MUST BE 1, 2, 3, 4 OR 5.","INVALID BOROUGH CODE. MUST BE 1, 2, 3, 4 OR 5.",,,,,,,,,,,,,,,,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PACKARD ST,",,,,,,,,,,,,,,,,,C,,,,,,,,,
,32,4101020010,4,10102,0010,,1,JAMAICA AVENUE,45109001,4,4215624,415545,1002,2003,, 244  , 244  , 44601,27,04,1,412,4,12,28,0000000000,,05,,SW,E,,42001,01,,4,104,014,50,127,L,13,QUEENS,45109001010,JAMAICA AVENUE,0037034,01,0005482,1B,00,01,51090,57190,,,,,,,4,4,,,,,,,4215624,4215624,,,,,,,01,01,,,,,,,,,,,,,,,162-24,92-12,,,,,,,162-22,92-02,,,,,,,R,R,,,,,,,45109001,45719001,,,,,,,JAMAICA AVENUE,GUY R BREWER BOULEVARD,,,,,,,2810,44,4101020010,457190,,,45719001,,,GUY R BREWER BOULEVARD,,,100162098AA,162-24,162-24,100162024AA,X,,QS,E,,1040527,0195926,40.70439375200879,40.704269374015034,0060082,4,4,2850,2850,4285001270,4285001270,01270,01270,01,-73.79751665248031,-73.79702652006705,4101020010,424140,,,42414001,,,162 STREET,,,100162010AA,100162022AA,,INPUT STREET NAME HAS BEEN MODIFIED,,QN61,Jamaica,1,1,1,1,0002,0001,,02,0006425,8,103,,,W,,W,01,00,1,K4,1,4,023,,06,1C,412,,EM,MTH,P,,028,0060082,00219,1,U,,R,R,,100162010AA,14,,,,,,,,,,,,,"JAMAICA AVE ,",,,,,,,,,2,44403,0037041,01,T,45109001,JAMAICA,,C,1040391,1040532,1040339,0000000,0195971,0196050,0195947,0000000,11432
,37,4000550001,4,00055,0001,,1,21 STREET,40674001,4,4000465,,2003,1003,,   7  ,   7  ,   7  ,26,01,1,402,4,02,30,0000000000,,12,0000,CR,E,,42013,01,,4,204,075,45,115,L,14,QUEENS,40674001010,21 STREET,0023107,01,0009804,1B,00,01,06740,10290,10340,00000,,,,,4,4,4,0,,,,,4000465,4000465,4000465,4518749,,,,,01,01,01,00,,,,,,,,B,,,,,46-02,11-40,11-33,,,,,,46-02,11-40,11-33,,,,,,R,R,L,,,,,,40674001,41029001,41034001,00000000,,,,,21 STREET,46 AVENUE,46 ROAD,,,,,,0720,41,4000550001,410340,,,41034001,,,46 ROAD,,,100046026AA,46-02,46-02,100046002AA,3,,QN,I,,0998487,0210965,40.745838568528924,40.745715276453154,0036835,4,4,5256,5256,4525600520,4525600520,00520,00520,01,-73.94812518817338,-73.94861970722225,4000550001,410290,,,41029001,,,46 AVENUE,,,100046000AA,100046002AA,,INPUT STREET NAME HAS BEEN MODIFIED,,QN31,Hunters Point-Sunnyside-West Maspeth,1,1,1,1,0004,0002,,03,0011603,6,108,,,W,,W,01,00,1,Z3,2,4,020,,01,3B,402,,ET,TTHS,P,,255,0036835,00260,3,U,,R,R,,100046000AA,12,,,,,,,,,,,,,"21ST ST ,",,,,,,,,,2,40101,0023097,01,T,40674001,LONG ISLAND CITY,,C,0998624,0998575,0998640,0000000,0211010,0210809,0211061,0000000,11101
,37,4000780032,4,00078,0032,,1,23 STREET,40704001,4,4000654,,1000,2000,,   7  ,   7  ,   7  ,26,01,2,402,4,02,30,0000000000,,12,0000,,E,,42013,01,,4,101,018,45,115,L,14,QUEENS,40704001010,23 STREET,0023186,01,0068111,1B,00,01,07040,,,,,,,,4,,,,,,,,4000654,,,,,,,,01,,,,,,,,,,,,,,,,44-70,,,,,,,,44-70,,,,,,,,R,,,,,,,,40704001,,,,,,,,23 STREET,,,,,,,,0720,41,4000780032,410140,,,41014001,,,45 AVENUE,,,100044098AA,44-70,44-70,100044070AA,4,,QN,I,,0999374,0211535,40.74741816761657,40.74727831061105,0036955,4,4,5274,5274,4527401130,4527401130,01130,01130,01,-73.94515373501945,-73.94541730804319,4000780032,409990,,,40999001,,,44 DRIVE,,,100044060AA,100044070AA,,INPUT STREET NAME HAS BEEN MODIFIED,,QN31,Hunters Point-Sunnyside-West Maspeth,1,1,1,1,0001,0001,,01,0078724,6,108,,,W,,W,01,00,1,B3,9,4,019,,01,2A,402,,EW,MWF,P,,255,0036955,00282,3,U,,R,R,,100044060AA,12,,,,,,,,,,,,,"23RD ST ,",,,,,,,,,2,40102,0023185,01,T,40704001,LONG ISLAND CITY,,C,0999447,0999402,0999474,0000000,0211586,0211403,0211676,0000000,11101
