"GRC","ReasonCode","BadRecordId","uid","hn","street","boro","state"
"99"," ",1,91506,"37-56/60","85TH ST","QUEENS","NY"
"99"," ",2,90153,"33-23","69TH ST","QUEENS","NY"
"99"," ",3,90502,"34-07","73RD ST","QUEENS","NY"
"99"," ",4,91532,"","ST","QUEENS","NY"
"99"," ",5,90019,"33-12","69TH ST","QUEENS","NY"
"99"," ",6,90035,"33-14","69TH ST","QUEENS","NY"
"99"," ",7,90060,"33-16","69TH ST","QUEENS","NY"
"99"," ",8,90088,"33-18","69TH ST","QUEENS","NY"
"99"," ",9,90111,"33-20","69TH ST","QUEENS","NY"
"99"," ",10,90139,"33-22","69TH ST","QUEENS","NY"
"99"," ",11,90163,"33-24","69TH ST","QUEENS","NY"
"99"," ",12,90191,"33-26","69TH ST","QUEENS","NY"
"99"," ",13,90020,"33-12","70TH ST","QUEENS","NY"
"99"," ",14,90036,"33-14","70TH ST","QUEENS","NY"
"99"," ",15,90061,"33-16","70TH ST","QUEENS","NY"
"99"," ",16,90089,"33-18","70TH ST","QUEENS","NY"
"99"," ",17,90112,"33-20","70TH ST","QUEENS","NY"
"99"," ",18,90140,"33-22","70TH ST","QUEENS","NY"
"99"," ",19,90164,"33-24","70TH ST","QUEENS","NY"
"99"," ",20,90192,"33-26","70TH ST","QUEENS","NY"
"99"," ",21,90218,"33-28","70TH ST","QUEENS","NY"
"99"," ",22,90244,"33-30","70TH ST","QUEENS","NY"
"99"," ",23,90270,"33-32","70TH ST","QUEENS","NY"
"99"," ",24,90298,"33-34","70TH ST","QUEENS","NY"
"99"," ",25,90323,"33-36","70TH ST","QUEENS","NY"
"99"," ",26,90345,"33-38","70TH ST","QUEENS","NY"
"99"," ",27,90372,"33-40","70TH ST","QUEENS","NY"
"99"," ",28,90399,"33-42","70TH ST","QUEENS","NY"
"99"," ",29,90424,"33-44","70TH ST","QUEENS","NY"
"99"," ",30,90445,"33-46","70TH ST","QUEENS","NY"
"99"," ",31,90461,"33-48","70TH ST","QUEENS","NY"
"99"," ",32,90433,"33-45","69TH ST","QUEENS","NY"
"99"," ",33,90414,"33-43","69TH ST","QUEENS","NY"
"99"," ",34,90386,"33-41","69TH ST","QUEENS","NY"
"99"," ",35,90358,"33-39","69TH ST","QUEENS","NY"
